k-point #     1:    0.000000    0.000000    0.000000    0.004630
 state    E_KS      E_HF       E_GW       Sx         Sc         Vxc         DE_HF        DE_GW       Znk
   5    -3.10465   -3.86437   -3.61841   -2.48268    0.36610   -1.72297   -0.75971   -0.51375    0.79029
   6    -3.10403   -3.86368   -3.61431   -2.48365    0.36666   -1.72399   -0.75965   -0.51028    0.78269
   7    -3.10403   -3.86368   -3.61432   -2.48365    0.36665   -1.72399   -0.75965   -0.51029    0.78269
   8    -3.10403   -3.86368   -3.61426   -2.48365    0.36669   -1.72399   -0.75965   -0.51023    0.78264
   9    -0.24893   -0.50543   -0.47020   -0.70417    0.22944   -0.44767   -0.25650   -0.22127    0.68665
  10     0.19173    0.14627   -0.03451   -0.53439    0.01477   -0.48894   -0.04545   -0.22623    0.76749
  11     0.19173    0.14627   -0.03452   -0.53439    0.01476   -0.48894   -0.04545   -0.22624    0.76746
  12     0.19173    0.14627   -0.03451   -0.53439    0.01476   -0.48894   -0.04545   -0.22624    0.76747
  13     0.28440    0.44719    0.08364   -0.26266   -0.16026   -0.42545    0.16279   -0.20076    0.76366
  14     0.28440    0.44719    0.08365   -0.26266   -0.16025   -0.42545    0.16279   -0.20075    0.76368
  15     0.28440    0.44719    0.08364   -0.26266   -0.16026   -0.42545    0.16279   -0.20076    0.76367
  16     0.31353    0.49982    0.11188   -0.35849   -0.18493   -0.54479    0.18629   -0.20165    0.75711
  17     0.47465    0.68908    0.27348   -0.17014   -0.21240   -0.38458    0.21444   -0.20117    0.74561
  18     0.47465    0.68908    0.27347   -0.17014   -0.21241   -0.38458    0.21444   -0.20117    0.74550
  19     0.47518    0.67372    0.26740   -0.14213   -0.20498   -0.34067    0.19854   -0.20777    0.79078
  20     0.59981    0.82995    0.39189   -0.10366   -0.23712   -0.33380    0.23014   -0.20792    0.74982
 
k-point #     2:    0.000000    0.000000    0.166667    0.037037
 state    E_KS      E_HF       E_GW       Sx         Sc         Vxc         DE_HF        DE_GW       Znk
   5    -3.10464   -3.86436   -3.61778   -2.48271    0.36628   -1.72299   -0.75973   -0.51315    0.78907
   6    -3.10404   -3.86369   -3.61265   -2.48363    0.36808   -1.72397   -0.75965   -0.50860    0.78125
   7    -3.10402   -3.86367   -3.61354   -2.48367    0.36734   -1.72402   -0.75965   -0.50953    0.78214
   8    -3.10402   -3.86367   -3.61348   -2.48367    0.36739   -1.72402   -0.75965   -0.50946    0.78207
