k-point #     1:    0.000000    0.000000    0.000000    0.010417
 state    E_KS      E_HF       E_GW       Sx         Sc         Vxc         DE_HF        DE_GW       Znk
  20     0.15907   -0.03524   -0.12935   -0.94858    0.16330   -0.75426   -0.19432   -0.28842    0.69984
  21     0.20696    0.03489   -0.07887   -0.96610    0.14545   -0.79403   -0.17207   -0.28583    0.71804
  22     0.21614    0.04818   -0.06722   -0.95549    0.14446   -0.78753   -0.16796   -0.28335    0.70821
  23     0.21614    0.04818   -0.06720   -0.95549    0.14448   -0.78753   -0.16796   -0.28334    0.70812
  24     0.23348    0.05893   -0.04872   -0.95394    0.15238   -0.77939   -0.17455   -0.28220    0.69837
  25     0.29995    0.60673    0.07499   -0.49034   -0.24855   -0.79712    0.30678   -0.22496    0.71698
  26     0.30973    0.60231    0.08163   -0.48976   -0.23881   -0.78235    0.29258   -0.22810    0.71809
  27     0.31996    0.63364    0.09188   -0.49866   -0.25824   -0.81235    0.31369   -0.22808    0.69683
  28     0.32391    0.64810    0.09815   -0.50484   -0.26532   -0.82904    0.32419   -0.22575    0.69578
  29     0.32391    0.64810    0.09825   -0.50484   -0.26525   -0.82904    0.32419   -0.22566    0.69659
  30     0.39611    0.70959    0.16976   -0.59533   -0.25517   -0.90881    0.31348   -0.22635    0.69225
  31     0.40199    0.75082    0.16692   -0.54766   -0.29760   -0.89649    0.34883   -0.23507    0.61773
  32     0.47613    0.79185    0.24146   -0.62587   -0.26579   -0.94159    0.31572   -0.23467    0.64174
 
k-point #     2:    0.000000    0.000000    0.166667    0.020833
 state    E_KS      E_HF       E_GW       Sx         Sc         Vxc         DE_HF        DE_GW       Znk
  20     0.15577   -0.03742   -0.12948   -0.93445    0.16611   -0.74125   -0.19320   -0.28526    0.68452
  21     0.16990    0.00225   -0.11501   -0.91950    0.14194   -0.75185   -0.16764   -0.28490    0.70767
  22     0.19658    0.04376   -0.08464   -0.92923    0.13239   -0.77640   -0.15282   -0.28122    0.70998
  23     0.19658    0.04376   -0.08461   -0.92923    0.13243   -0.77640   -0.15282   -0.28119    0.70980
  24     0.22702    0.04537   -0.05608   -0.94953    0.15811   -0.76788   -0.18165   -0.28310    0.69616
  25     0.31488    0.63144    0.08723   -0.48843   -0.26081   -0.80499    0.31656   -0.22765    0.70078
  26     0.31858    0.62123    0.09215   -0.50671   -0.24604   -0.80936    0.30265   -0.22643    0.71164
  27     0.32129    0.62835    0.09464   -0.51773   -0.25000   -0.82479    0.30705   -0.22665    0.70226
  28     0.33618    0.63662    0.10695   -0.53517   -0.24646   -0.83561    0.30044   -0.22923    0.69453
  29     0.33618    0.63662    0.10698   -0.53517   -0.24643   -0.83561    0.30044   -0.22920    0.69463
  30     0.39378    0.73561    0.15955   -0.54702   -0.29025   -0.88884    0.34183   -0.23423    0.62975
  31     0.41002    0.72667    0.18141   -0.59910   -0.26032   -0.91575    0.31665   -0.22861    0.67646
  32     0.46320    0.77743    0.22926   -0.60659   -0.26369   -0.92082    0.31422   -0.23395    0.64851
 
