k-point #     1:    0.000000    0.000000    0.000000    0.250000
 state    E_KS      E_HF       E_GW       Sx         Sc         Vxc         DE_HF        DE_GW       Znk
  23     0.14137   -0.10776   -0.09494   -1.24563    0.17916   -0.99651   -0.24913   -0.23631    0.75457
  24     0.16694   -0.06209   -0.06408   -1.23942    0.16634   -1.01039   -0.22903   -0.23103    0.75782
  25     0.17039   -0.07696   -0.06600   -1.29257    0.17738   -1.04522   -0.24734   -0.23639    0.75574
  26     0.17039   -0.07696   -0.06599   -1.29257    0.17739   -1.04522   -0.24734   -0.23637    0.75558
  27     0.19664    0.39130    0.02094   -0.32022   -0.18504   -0.51489    0.19466   -0.17571    0.81168
  28     0.35835    0.58833    0.19197   -0.28428   -0.20829   -0.51426    0.22998   -0.16638    0.78986
  29     0.46961    0.69136    0.29667   -0.39147   -0.20841   -0.61322    0.22175   -0.17294    0.79264
  30     0.63877    0.87951    0.47172   -0.24249   -0.22061   -0.48324    0.24074   -0.16706    0.81749
  31     0.63877    0.87951    0.47175   -0.24249   -0.22057   -0.48324    0.24074   -0.16702    0.81772
  32     0.68427    0.93693    0.52083   -0.22552   -0.22831   -0.47818    0.25266   -0.16344    0.82454
  33     0.68543    0.94380    0.52147   -0.25819   -0.23417   -0.51656    0.25837   -0.16396    0.80806
 
k-point #     2:    0.000000    0.500000    0.000000    0.750000
 state    E_KS      E_HF       E_GW       Sx         Sc         Vxc         DE_HF        DE_GW       Znk
  23     0.06622   -0.20069   -0.17303   -1.24687    0.19259   -0.97996   -0.26691   -0.23925    0.75003
  24     0.08644   -0.16465   -0.14792   -1.15048    0.18309   -0.89939   -0.25109   -0.23436    0.74771
  25     0.12318   -0.12466   -0.11291   -1.23896    0.17836   -0.99112   -0.24784   -0.23610    0.75667
  26     0.13864   -0.10690   -0.09570   -1.22296    0.17797   -0.97742   -0.24554   -0.23434    0.75219
  27     0.38018    0.59912    0.20991   -0.35948   -0.20243   -0.57841    0.21894   -0.17027    0.80204
  28     0.41773    0.61496    0.23913   -0.31587   -0.19113   -0.51310    0.19722   -0.17860    0.80624
  29     0.44638    0.64156    0.26707   -0.33325   -0.19001   -0.52843    0.19518   -0.17931    0.81343
  30     0.48012    0.72644    0.31674   -0.40442   -0.22072   -0.65075    0.24632   -0.16338    0.78646
  31     0.55616    0.79675    0.38691   -0.36284   -0.22263   -0.60343    0.24059   -0.16924    0.79452
  32     0.61999    0.85488    0.44585   -0.28183   -0.22307   -0.51671    0.23489   -0.17414    0.79349
  33     0.65318    0.88676    0.48186   -0.26866   -0.21849   -0.50224    0.23358   -0.17132    0.80822
 
