k-point #     1:    0.000000    0.000000    0.000000    0.001953
 state    E_KS      E_HF       E_GW       Sx         Sc         Vxc         DE_HF        DE_GW       Znk
   5    -3.10465   -3.86487   -3.62211   -2.48318    0.37626   -1.72297   -0.76021   -0.51746    0.82397
   6    -3.10403   -3.86418   -3.61499   -2.48415    0.37936   -1.72399   -0.76015   -0.51096    0.81375
   7    -3.10403   -3.86418   -3.61492   -2.48415    0.37940   -1.72399   -0.76015   -0.51090    0.81367
   8    -3.10403   -3.86418   -3.61494   -2.48415    0.37940   -1.72399   -0.76015   -0.51091    0.81370
   9    -0.24893   -0.50607   -0.46537   -0.70480    0.23417   -0.44767   -0.25714   -0.21643    0.66818
  10     0.19173    0.14942   -0.02990   -0.53124    0.01549   -0.48894   -0.04231   -0.22162    0.76565
  11     0.19173    0.14942   -0.02990   -0.53124    0.01549   -0.48894   -0.04231   -0.22163    0.76564
  12     0.19173    0.14942   -0.02990   -0.53124    0.01549   -0.48894   -0.04231   -0.22162    0.76564
  13     0.28440    0.44525    0.08722   -0.26460   -0.15570   -0.42545    0.16085   -0.19718    0.76127
  14     0.28440    0.44525    0.08722   -0.26460   -0.15570   -0.42545    0.16085   -0.19718    0.76128
  15     0.28440    0.44525    0.08722   -0.26460   -0.15571   -0.42545    0.16085   -0.19718    0.76126
  16     0.31353    0.49702    0.11719   -0.36130   -0.17719   -0.54479    0.18349   -0.19634    0.75516
  17     0.47465    0.68887    0.27632   -0.17035   -0.21050   -0.38458    0.21422   -0.19832    0.74370
  18     0.47465    0.68887    0.27632   -0.17035   -0.21050   -0.38458    0.21422   -0.19832    0.74375
  19     0.47518    0.67292    0.27050   -0.14293   -0.20230   -0.34067    0.19774   -0.20467    0.78600
  20     0.59981    0.82962    0.39422   -0.10399   -0.23586   -0.33380    0.22981   -0.20560    0.74443
 
k-point #     2:    0.000000    0.000000    0.125000    0.015625
 state    E_KS      E_HF       E_GW       Sx         Sc         Vxc         DE_HF        DE_GW       Znk
   5    -3.10464   -3.86487   -3.62169   -2.48320    0.37644   -1.72298   -0.76022   -0.51704    0.82326
   6    -3.10404   -3.86419   -3.61466   -2.48414    0.37983   -1.72398   -0.76015   -0.51062    0.81385
   7    -3.10402   -3.86417   -3.61505   -2.48416    0.37945   -1.72401   -0.76015   -0.51102    0.81411
   8    -3.10402   -3.86417   -3.61496   -2.48416    0.37952   -1.72401   -0.76015   -0.51094    0.81402
   9    -0.24140   -0.49534   -0.45786   -0.70278    0.23098   -0.44884   -0.25394   -0.21646    0.66954
  10     0.13244    0.06968   -0.08880   -0.53957    0.03595   -0.47681   -0.06276   -0.22124    0.75144
  11     0.18098    0.13651   -0.04025   -0.52725    0.01811   -0.48279   -0.04446   -0.22123    0.76400
  12     0.18098    0.13651   -0.04025   -0.52725    0.01811   -0.48279   -0.04446   -0.22123    0.76398
  13     0.28165    0.44285    0.08366   -0.28774   -0.15713   -0.44893    0.16119   -0.19799    0.76406
  14     0.30012    0.46592    0.10257   -0.26612   -0.16111   -0.43192    0.16580   -0.19755    0.75651
  15     0.30012    0.46592    0.10257   -0.26612   -0.16111   -0.43192    0.16580   -0.19755    0.75649
  16     0.36310    0.55396    0.16534   -0.32811   -0.18634   -0.51897    0.19086   -0.19775    0.73977
  17     0.45612    0.66450    0.25692   -0.16289   -0.20584   -0.37127    0.20838   -0.19920    0.74441
  18     0.45612    0.66450    0.25692   -0.16289   -0.20584   -0.37127    0.20838   -0.19920    0.74440
  19     0.50485    0.71138    0.30092   -0.14615   -0.21021   -0.35268    0.20653   -0.20393    0.77035
  20     0.57832    0.80031    0.37289   -0.10304   -0.22777   -0.32503    0.22199   -0.20543    0.75053
 
k-point #     3:    0.000000    0.000000    0.250000    0.015625
 state    E_KS      E_HF       E_GW       Sx         Sc         Vxc         DE_HF        DE_GW       Znk
   5    -3.10462   -3.86486   -3.62079   -2.48325    0.37661   -1.72300   -0.76024   -0.51616    0.82127
   6    -3.10406   -3.86421   -3.61416   -2.48410    0.38053   -1.72395   -0.76015   -0.51010    0.81398
   7    -3.10400   -3.86415   -3.61533   -2.48419    0.37926   -1.72404   -0.76015   -0.51132    0.81450
   8    -3.10400   -3.86415   -3.61528   -2.48419    0.37931   -1.72404   -0.76015   -0.51128    0.81448
   9    -0.21942   -0.46390   -0.43596   -0.69721    0.22150   -0.45273   -0.24448   -0.21654    0.67246
  10     0.04648   -0.06397   -0.17429   -0.57325    0.08270   -0.46280   -0.11045   -0.22077    0.70903
  11     0.16360    0.11055   -0.05792   -0.53139    0.02617   -0.47834   -0.05305   -0.22152    0.75999
