k-point #     1:    0.000000    0.000000    0.000000    0.002778
 state    E_KS      E_HF       E_GW       Sx         Sc         Vxc         DE_HF        DE_GW       Znk
  20     0.15907   -0.03561   -0.12962   -0.94894    0.16341   -0.75426   -0.19468   -0.28870    0.70294
  21     0.20696    0.03535   -0.07876   -0.96563    0.14493   -0.79403   -0.17161   -0.28572    0.71239
  22     0.21614    0.04838   -0.06727   -0.95529    0.14401   -0.78753   -0.16775   -0.28341    0.70293
  23     0.21614    0.04838   -0.06727   -0.95529    0.14401   -0.78753   -0.16775   -0.28340    0.70288
  24     0.23348    0.05802   -0.04876   -0.95485    0.15290   -0.77939   -0.17546   -0.28224    0.68812
  25     0.29995    0.60536    0.07368   -0.49172   -0.24813   -0.79712    0.30540   -0.22627    0.70615
  26     0.30973    0.60146    0.08025   -0.49061   -0.23905   -0.78235    0.29173   -0.22948    0.70684
  27     0.31996    0.63303    0.09023   -0.49927   -0.25901   -0.81235    0.31307   -0.22972    0.68432
  28     0.32391    0.64749    0.09706   -0.50545   -0.26601   -0.82904    0.32358   -0.22685    0.69253
  29     0.32391    0.64749    0.09709   -0.50545   -0.26598   -0.82904    0.32358   -0.22681    0.69268
  30     0.39611    0.70892    0.16958   -0.59600   -0.25516   -0.90881    0.31281   -0.22654    0.69703
  31     0.40199    0.75078    0.16809   -0.54770   -0.29809   -0.89649    0.34880   -0.23389    0.64724
  32     0.47613    0.79175    0.24296   -0.62596   -0.26482   -0.94159    0.31562   -0.23317    0.66030
 
k-point #     2:    0.000000    0.000000    0.100000    0.005556
 state    E_KS      E_HF       E_GW       Sx         Sc         Vxc         DE_HF        DE_GW       Znk
  20     0.14765   -0.04702   -0.14076   -0.93655    0.16372   -0.74187   -0.19468   -0.28842    0.70105
  21     0.19106    0.02558   -0.09383   -0.93938    0.13995   -0.77390   -0.16548   -0.28489    0.71203
  22     0.20852    0.04897   -0.07372   -0.94262    0.13751   -0.78307   -0.15955   -0.28224    0.70439
  23     0.20852    0.04897   -0.07371   -0.94262    0.13752   -0.78307   -0.15955   -0.28223    0.70432
  24     0.23156    0.05241   -0.05110   -0.95505    0.15594   -0.77590   -0.17915   -0.28266    0.68698
  25     0.30955    0.61075    0.08190   -0.50995   -0.24537   -0.81115    0.30120   -0.22765    0.69964
  26     0.31363    0.60880    0.08470   -0.49940   -0.24150   -0.79457    0.29517   -0.22893    0.70410
  27     0.31756    0.63279    0.08820   -0.49337   -0.26079   -0.80860    0.31523   -0.22935    0.68624
  28     0.32877    0.64049    0.10024   -0.51958   -0.25648   -0.83130    0.31172   -0.22853    0.69136
  29     0.32877    0.64049    0.10027   -0.51958   -0.25646   -0.83130    0.31172   -0.22850    0.69148
  30     0.39899    0.74523    0.16515   -0.54748   -0.29556   -0.89373    0.34624   -0.23385    0.64860
  31     0.40172    0.71545    0.17423   -0.59780   -0.25696   -0.91153    0.31373   -0.22748    0.69110
  32     0.47027    0.78455    0.23725   -0.61541   -0.26356   -0.92969    0.31428   -0.23302    0.66431
 
k-point #     3:    0.000000    0.000000    0.200000    0.005556
 state    E_KS      E_HF       E_GW       Sx         Sc         Vxc         DE_HF        DE_GW       Znk
  20     0.16060   -0.03238   -0.12470   -0.93787    0.16594   -0.74488   -0.19298   -0.28530    0.68746
  21     0.16060   -0.03238   -0.12470   -0.93787    0.16595   -0.74488   -0.19298   -0.28530    0.68739
