k-point #     1:    0.000000    0.000000    0.000000    0.002778
 state    E_KS      E_HF       E_GW       Sx         Sc         Vxc         DE_HF        DE_GW       Znk
  20     0.15907   -0.03561   -0.13868   -0.94894    0.15025   -0.75426   -0.19468   -0.29776    0.69863
  21     0.20696    0.03535   -0.08943   -0.96563    0.13024   -0.79403   -0.17161   -0.29639    0.71729
  22     0.21614    0.04838   -0.07780   -0.95529    0.12945   -0.78753   -0.16775   -0.29393    0.71056
  23     0.21614    0.04838   -0.07779   -0.95529    0.12945   -0.78753   -0.16775   -0.29393    0.71047
  24     0.23348    0.05802   -0.05894   -0.95485    0.13861   -0.77939   -0.17546   -0.29241    0.69742
  25     0.29995    0.60536    0.06467   -0.49172   -0.26150   -0.79712    0.30540   -0.23529    0.71583
  26     0.30973    0.60146    0.07153   -0.49061   -0.25194   -0.78235    0.29173   -0.23820    0.71663
  27     0.31996    0.63303    0.08164   -0.49927   -0.27223   -0.81235    0.31307   -0.23831    0.69544
  28     0.32391    0.64749    0.08769   -0.50545   -0.27973   -0.82904    0.32358   -0.23621    0.69551
  29     0.32391    0.64749    0.08772   -0.50545   -0.27970   -0.82904    0.32358   -0.23619    0.69565
  30     0.39611    0.70892    0.15782   -0.59600   -0.27169   -0.90881    0.31281   -0.23829    0.69139
  31     0.40199    0.75078    0.15617   -0.54770   -0.31482   -0.89649    0.34880   -0.24582    0.61514
  32     0.47613    0.79175    0.22933   -0.62596   -0.28452   -0.94159    0.31562   -0.24680    0.64030
 
k-point #     2:    0.000000    0.000000    0.100000    0.005556
 state    E_KS      E_HF       E_GW       Sx         Sc         Vxc         DE_HF        DE_GW       Znk
  20     0.14765   -0.04702   -0.14916   -0.93655    0.15122   -0.74187   -0.19468   -0.29681    0.69266
  21     0.19106    0.02558   -0.10391   -0.93938    0.12588   -0.77390   -0.16548   -0.29498    0.71370
  22     0.20852    0.04897   -0.08439   -0.94262    0.12306   -0.78307   -0.15955   -0.29291    0.71794
  23     0.20852    0.04897   -0.08430   -0.94262    0.12309   -0.78307   -0.15955   -0.29282    0.71622
  24     0.23156    0.05241   -0.06125   -0.95505    0.14169   -0.77590   -0.17915   -0.29282    0.69669
  25     0.30955    0.61075    0.07278   -0.50995   -0.25897   -0.81115    0.30120   -0.23677    0.70920
  26     0.31363    0.60880    0.07585   -0.49940   -0.25464   -0.79457    0.29517   -0.23778    0.71377
  27     0.31756    0.63279    0.07961   -0.49337   -0.27396   -0.80860    0.31523   -0.23794    0.69722
  28     0.32877    0.64049    0.09082   -0.51958   -0.27039   -0.83130    0.31172   -0.23795    0.69595
  29     0.32877    0.64049    0.09084   -0.51958   -0.27036   -0.83130    0.31172   -0.23793    0.69609
  30     0.39899    0.74523    0.15349   -0.54748   -0.31202   -0.89373    0.34624   -0.24551    0.61980
  31     0.40172    0.71545    0.16251   -0.59780   -0.27358   -0.91153    0.31373   -0.23920    0.68525
  32     0.47027    0.78455    0.22385   -0.61541   -0.28275   -0.92969    0.31428   -0.24642    0.64357
 
k-point #     3:    0.000000    0.000000    0.200000    0.005556
 state    E_KS      E_HF       E_GW       Sx         Sc         Vxc         DE_HF        DE_GW       Znk
  20     0.16060   -0.03238   -0.13369   -0.93787    0.15275   -0.74488   -0.19298   -0.29429    0.68528
  21     0.16060   -0.03238   -0.13368   -0.93787    0.15276   -0.74488   -0.19298   -0.29428    0.68519
  22     0.18929    0.03749   -0.10159   -0.92446    0.11764   -0.77265   -0.15180   -0.29088    0.70737
  23     0.18929    0.03749   -0.10158   -0.92446    0.11766   -0.77265   -0.15180   -0.29087    0.70729
  24     0.22319    0.04065   -0.06977   -0.94394    0.14472   -0.76141   -0.18253   -0.29296    0.69414
  25     0.31406    0.62866    0.07609   -0.48971   -0.27352   -0.80432    0.31460   -0.23797    0.69983
  26     0.32117    0.62784    0.08473   -0.50988   -0.26390   -0.81655    0.30667   -0.23644    0.70799
  27     0.32734    0.63943    0.09002   -0.51908   -0.26985   -0.83116    0.31208   -0.23733    0.69592
  28     0.34055    0.63665    0.09966   -0.54245   -0.25870   -0.83856    0.29610   -0.24089    0.69053
  29     0.34055    0.63665    0.09968   -0.54245   -0.25868   -0.83856    0.29610   -0.24087    0.69068
  30     0.39029    0.72911    0.14554   -0.54671   -0.30405   -0.88553    0.33882   -0.24474    0.63189
  31     0.41465    0.73279    0.17349   -0.59987   -0.27997   -0.91801    0.31814   -0.24116    0.66955
  32     0.45999    0.77440    0.21480   -0.60468   -0.28125   -0.91909    0.31442   -0.24519    0.64908
 
k-point #     4:    0.000000    0.000000    0.300000    0.005556
 state    E_KS      E_HF       E_GW       Sx         Sc         Vxc         DE_HF        DE_GW       Znk
  20     0.16503    0.00786   -0.12589   -0.92261    0.12270   -0.76544   -0.15717   -0.29091    0.70190
  21     0.16503    0.00786   -0.12585   -0.92261    0.12273   -0.76544   -0.15717   -0.29088    0.70176
  22     0.17220   -0.01791   -0.12196   -0.93934    0.15024   -0.74923   -0.19011   -0.29416    0.68851
  23     0.17220   -0.01791   -0.12196   -0.93934    0.15024   -0.74923   -0.19011   -0.29416    0.68844
  24     0.20408    0.02727   -0.08767   -0.90974    0.14081   -0.73293   -0.17681   -0.29175    0.69537
  25     0.31653    0.62070    0.07680   -0.50533   -0.26548   -0.80951    0.30418   -0.23972    0.69751
  26     0.32914    0.65190    0.09417   -0.51172   -0.27743   -0.83447    0.32275   -0.23498    0.70037
  27     0.34374    0.67630    0.10683   -0.51660   -0.28891   -0.84916    0.33256   -0.23690    0.68296
  28     0.35388    0.64683    0.11113   -0.55568   -0.25774   -0.84863    0.29295   -0.24275    0.68057
  29     0.35388    0.64683    0.11116   -0.55568   -0.25771   -0.84863    0.29295   -0.24272    0.68072
  30     0.37678    0.70428    0.13290   -0.54503   -0.29224   -0.87253    0.32750   -0.24388    0.64761
  31     0.42687    0.75043    0.18399   -0.59782   -0.28714   -0.92138    0.32356   -0.24288    0.65438
  32     0.45427    0.77041    0.21074   -0.60849   -0.28083   -0.92463    0.31614   -0.24353    0.65668
 
k-point #     5:    0.000000    0.000000    0.400000    0.005556
 state    E_KS      E_HF       E_GW       Sx         Sc         Vxc         DE_HF        DE_GW       Znk
  20     0.14212   -0.02613   -0.14905   -0.93462    0.13299   -0.76637   -0.16825   -0.29117    0.69345
  21     0.14212   -0.02613   -0.14901   -0.93462    0.13304   -0.76637   -0.16825   -0.29112    0.69325
  22     0.17566    0.00175   -0.11513   -0.87306    0.13981   -0.69915   -0.17391   -0.29079    0.70596
  23     0.17840   -0.01069   -0.11604   -0.94079    0.14897   -0.75169   -0.18910   -0.29444    0.69093
  24     0.17840   -0.01069   -0.11604   -0.94079    0.14896   -0.75169   -0.18910   -0.29444    0.69088
  25     0.32693    0.62489    0.08538   -0.52455   -0.26148   -0.82250    0.29795   -0.24156    0.68976
  26     0.33872    0.67845    0.10464   -0.50823   -0.29266   -0.84796    0.33973   -0.23407    0.69351
  27     0.35289    0.70394    0.11700   -0.51118   -0.30547   -0.86224    0.35106   -0.23588    0.67625
  28     0.36010    0.67444    0.11694   -0.54194   -0.27886   -0.85628    0.31434   -0.24316    0.66375
  29     0.36376    0.66084    0.12011   -0.55914   -0.26268   -0.85622    0.29708   -0.24365    0.67066
  30     0.36376    0.66084    0.12014   -0.55914   -0.26265   -0.85622    0.29708   -0.24362    0.67081
  31     0.43345    0.75625    0.18993   -0.59154   -0.28728   -0.91434    0.32281   -0.24352    0.65288
  32     0.44778    0.75739    0.20402   -0.58269   -0.27529   -0.89230    0.30961   -0.24376    0.66870
 
