k-point #     1:    0.000000    0.000000    0.000000    0.250000
 state    E_KS      E_HF       E_GW       Sx         Sc         Vxc         DE_HF        DE_GW       Znk
  23     0.14137   -0.10776   -0.07856   -1.24563    0.20090   -0.99651   -0.24913   -0.21993    0.75510
  24     0.16694   -0.06209   -0.04727   -1.23942    0.18853   -1.01039   -0.22903   -0.21421    0.75776
  25     0.17039   -0.07696   -0.04821   -1.29257    0.20092   -1.04522   -0.24734   -0.21860    0.75580
  26     0.17039   -0.07696   -0.04820   -1.29257    0.20093   -1.04522   -0.24734   -0.21859    0.75567
  27     0.19664    0.39130    0.02561   -0.32022   -0.17928   -0.51489    0.19466   -0.17103    0.81170
  28     0.35835    0.58833    0.19566   -0.28428   -0.20250   -0.51426    0.22998   -0.16269    0.75779
  29     0.46961    0.69136    0.30454   -0.39147   -0.19850   -0.61322    0.22175   -0.16506    0.79379
  30     0.63877    0.87951    0.47628   -0.24249   -0.21504   -0.48324    0.24074   -0.16250    0.81786
  31     0.63877    0.87951    0.47632   -0.24249   -0.21501   -0.48324    0.24074   -0.16245    0.81856
  32     0.68427    0.93693    0.52528   -0.22552   -0.22300   -0.47818    0.25266   -0.15899    0.82703
  33     0.68543    0.94380    0.52664   -0.25819   -0.22783   -0.51656    0.25837   -0.15879    0.80948
 
k-point #     2:    0.000000    0.500000    0.000000    0.750000
 state    E_KS      E_HF       E_GW       Sx         Sc         Vxc         DE_HF        DE_GW       Znk
  23     0.06622   -0.20069   -0.15666   -1.24687    0.21450   -0.97996   -0.26691   -0.22287    0.75109
  24     0.08644   -0.16465   -0.13428   -1.15048    0.20140   -0.89939   -0.25109   -0.22072    0.74867
  25     0.12318   -0.12466   -0.09619   -1.23896    0.20056   -0.99112   -0.24784   -0.21937    0.75828
  26     0.13864   -0.10690   -0.07996   -1.22296    0.19891   -0.97742   -0.24554   -0.21860    0.75244
  27     0.38018    0.59912    0.21613   -0.35948   -0.19470   -0.57841    0.21894   -0.16406    0.80265
  28     0.41773    0.61496    0.24504   -0.31587   -0.18379   -0.51310    0.19722   -0.17270    0.80566
  29     0.44638    0.64156    0.27376   -0.33325   -0.18178   -0.52843    0.19518   -0.17263    0.81307
  30     0.48012    0.72644    0.32465   -0.40442   -0.21065   -0.65075    0.24632   -0.15546    0.78645
  31     0.55616    0.79675    0.39452   -0.36284   -0.21303   -0.60343    0.24059   -0.16164    0.79371
  32     0.61999    0.85488    0.45165   -0.28183   -0.21581   -0.51671    0.23489   -0.16834    0.79539
  33     0.65318    0.88676    0.48729   -0.26866   -0.21179   -0.50224    0.23358   -0.16589    0.80911
 
