k-point #     1:    0.000000    0.000000    0.000000    0.125000
 state    E_KS      E_HF       E_GW       Sx         Sc         Vxc         DE_HF        DE_GW       Znk
  16     0.14189   -0.04752   -0.28437   -0.85377    0.15328   -0.66436   -0.18941   -0.42625    0.74574
  17     0.14189   -0.04752   -0.28431   -0.85377    0.15310   -0.66436   -0.18941   -0.42620    0.74051
  18     0.14189   -0.04752   -0.28460   -0.85377    0.15316   -0.66436   -0.18941   -0.42649    0.74979
  19     0.31831    0.14619   -0.11743   -0.94233    0.12451   -0.77021   -0.17212   -0.43574    0.76526
  20     0.31831    0.14619   -0.11735   -0.94233    0.12459   -0.77021   -0.17212   -0.43566    0.76478
  21     0.31831    0.14619   -0.11729   -0.94233    0.12465   -0.77021   -0.17212   -0.43561    0.76458
  22     0.46028    0.72330    0.10001   -0.36222   -0.21483   -0.62523    0.26302   -0.36027    0.81002
  23     0.46028    0.72330    0.10002   -0.36222   -0.21482   -0.62523    0.26302   -0.36026    0.81005
  24     0.57561    0.78004    0.19434   -0.27545   -0.18259   -0.47989    0.20443   -0.38127    0.82584
  25     0.68878    0.97070    0.32311   -0.56731   -0.23723   -0.84923    0.28192   -0.36567    0.75261
  26     0.68878    0.97070    0.32285   -0.56731   -0.23750   -0.84923    0.28192   -0.36593    0.75144
 
k-point #     2:    0.000000    0.000000    0.500000    0.500000
 state    E_KS      E_HF       E_GW       Sx         Sc         Vxc         DE_HF        DE_GW       Znk
  16     0.17961    0.00638   -0.24548   -0.84129    0.13839   -0.66807   -0.17323   -0.42508    0.73987
  17     0.17961    0.00638   -0.24583   -0.84129    0.13830   -0.66807   -0.17323   -0.42543    0.74801
  18     0.24313    0.06168   -0.19176   -0.87756    0.13415   -0.69611   -0.18146   -0.43489    0.75208
  19     0.24574    0.06251   -0.18674   -0.91160    0.13879   -0.72837   -0.18323   -0.43248    0.74649
  20     0.27700    0.09645   -0.15897   -0.93199    0.13224   -0.75145   -0.18054   -0.43596    0.75890
  21     0.27700    0.09645   -0.15887   -0.93199    0.13235   -0.75145   -0.18054   -0.43587    0.75861
  22     0.48492    0.75243    0.12466   -0.38437   -0.21889   -0.65189    0.26751   -0.36026    0.80304
  23     0.48492    0.75243    0.12464   -0.38437   -0.21890   -0.65189    0.26751   -0.36027    0.80298
  24     0.56598    0.83724    0.20538   -0.48319   -0.22262   -0.75445    0.27126   -0.36060    0.79568
  25     0.65434    0.92455    0.28794   -0.54976   -0.22696   -0.81996    0.27021   -0.36640    0.76091
  26     0.65434    0.92455    0.28776   -0.54976   -0.22713   -0.81996    0.27021   -0.36658    0.75975
 
k-point #     3:    0.000000    0.500000    0.500000    0.375000
 state    E_KS      E_HF       E_GW       Sx         Sc         Vxc         DE_HF        DE_GW       Znk
  16     0.11501   -0.07628   -0.31048   -0.79530    0.15519   -0.60400   -0.19130   -0.42550    0.72526
  17     0.22083    0.02822   -0.21451   -0.91047    0.14386   -0.71786   -0.19262   -0.43534    0.73908
  18     0.22083    0.02822   -0.21433   -0.91047    0.14406   -0.71786   -0.19262   -0.43516    0.73831
  19     0.28181    0.12538   -0.14663   -0.90737    0.11823   -0.75093   -0.15643   -0.42844    0.76251
  20     0.28181    0.12538   -0.14650   -0.90737    0.11836   -0.75093   -0.15643   -0.42831    0.76168
  21     0.33833    0.17069   -0.09646   -0.96218    0.12130   -0.79454   -0.16764   -0.43479    0.76571
  22     0.47608    0.70423    0.10595   -0.40228   -0.19191   -0.63042    0.22814   -0.37014    0.80498
  23     0.51343    0.80442    0.15633   -0.38364   -0.23756   -0.67463    0.29099   -0.35710    0.78994
  24     0.55622    0.82060    0.19434   -0.48012   -0.21758   -0.74449    0.26437   -0.36188    0.79979
  25     0.60973    0.87048    0.24502   -0.51841   -0.21640   -0.77915    0.26074   -0.36472    0.78017
  26     0.60973    0.87048    0.24490   -0.51841   -0.21652   -0.77915    0.26074   -0.36484    0.77948
 
